marka,ban növü,rəng,mühərrik,sürətlər qutusu,yeni,vəziyyəti,yürüş,yaş,qiymət
37,9,7,0,0,0,3,0.0,1.0,124950
35,9,7,0,0,1,3,241402.0,10.0,49300
26,9,0,1,0,1,3,108000.0,16.0,21500
34,9,3,0,1,1,3,185000.0,9.0,8600
3,11,7,0,0,1,0,37000.0,12.0,281444
33,11,13,0,0,1,3,99646.0,10.0,25800
26,11,8,0,0,1,3,194000.0,11.0,20500
54,11,7,3,0,0,3,0.0,1.0,89344
42,11,7,1,0,1,3,115000.0,8.0,50830
47,11,13,2,0,1,3,17000.0,4.0,247350
37,9,7,0,0,1,3,33597.0,13.0,98600
8,5,2,4,0,0,3,0.0,1.0,40630
42,11,7,1,0,1,3,299000.0,14.0,27400
46,11,2,1,0,1,2,321000.0,15.0,16800
54,9,7,3,0,0,3,0.0,1.0,106250
44,9,7,0,0,1,3,197000.0,17.0,21500
41,9,3,0,0,1,3,147000.0,5.0,54400
33,9,0,1,0,1,3,195000.0,10.0,27500
5,9,7,2,0,0,3,0.0,1.0,62560
26,11,13,0,0,1,3,52700.0,6.0,25400
33,9,2,1,0,1,3,133000.0,9.0,46000
42,11,7,0,0,1,3,97000.0,8.0,38250
26,9,0,0,0,1,3,98850.0,11.0,24800
54,11,0,0,0,1,3,84444.0,3.0,35698
25,2,7,2,0,0,3,0.0,1.0,43010
56,9,13,0,0,0,2,0.0,1.0,38000
47,9,0,0,0,1,3,200123.0,15.0,27900
31,9,2,0,0,0,3,0.0,1.0,49900
33,9,13,1,0,1,3,172911.0,9.0,43999
35,9,7,0,0,1,3,105000.0,10.0,122400
42,9,7,0,0,0,3,0.0,1.0,518500
33,11,3,0,0,1,0,44500.0,4.0,28000
54,11,0,0,0,1,3,85000.0,6.0,53550
45,9,0,0,0,1,3,58000.0,3.0,40000
26,9,0,0,0,1,3,145000.0,11.0,33000
33,9,0,1,0,1,3,142000.0,10.0,43900
42,9,7,1,0,1,3,203000.0,9.0,45050
34,11,0,0,1,1,1,29746.0,18.0,4700
26,9,0,1,0,1,3,108000.0,16.0,21500
34,9,3,0,1,1,3,185000.0,9.0,8600
3,11,7,0,0,1,3,37000.0,12.0,281444
33,11,13,0,0,1,3,99646.0,10.0,25800
26,11,8,0,0,1,3,194000.0,11.0,20500
54,11,7,3,0,0,3,0.0,1.0,89344
42,11,7,1,0,1,3,115000.0,8.0,50830
47,11,13,2,0,1,3,17000.0,4.0,247350
